State,Year,Political Party Governing
Virginia,2017,D
Virginia,2018,D
Virginia,2020,D
Washington,2016,D
Washington,2017,D
Washington,2018,D
Washington,2019,D
Washington,2020,D
Washington,2021,D
West Virginia,2017,D
West Virginia,2018,D
West Virginia,2021,D
West Virginia,2016,D
West Virginia,2019,D
West Virginia,2020,D
Wisconsin,2017,R
Wisconsin,2018,R
Wisconsin,2021,D
Wisconsin,2016,R
Wisconsin,2019,D
Wisconsin,2020,D
Wyoming,2018,R
Wyoming,2019,R
Wyoming,2017,R
Wyoming,2016,R
Wyoming,2020,R
Wyoming,2021,R
